query	真实label	定制化前label	定制化后label
最好用的浏览器 这个太好了,真的很好用,希望大家都喜欢用。	2	2	2
好用 方便好用,一直在用	2	2	2
顶 一直在用,蛮好用的	2	2	2
比之前下载的好看好玩多了,原来你是这样的好看,以前怎么不知道呢	2	2	2
现在就喜欢新版的,非常的厚道的输入法	2	2	2
很好用的浏览器 一直都在用浏览器感觉真的很好用	2	2	2
五分 very good!	2	2	2
比较很好的构思,很好 比上一个版本简约了不少,风格突然变高级了,论坛入口感觉更棒了,一些小细节体验很好。引导页很赞,好评~	2	2	2
皮肤有点审美疲劳了,但是从皮肤库里又找不到合适的皮肤,只能又换回默认皮肤,然后又疲劳!再换输入法!	2	0	0
我看到这上得不错评,就把这个下载了,果然没让我失望 从来没玩过游戏,吃鸡的时候怎么玩怎么出装备都不知道,在贴吧发了一个求助帖遇到好多热心吧友给出指导,还有了一起组队的战友,小伙伴们一起来啊!	2	2	2
好 这个浏览器真的很不错,还可以回答问题领红包!	2	2	2
地图能够指引我们正确方向! 地图很好用!	2	2	2
很好 超级好用的浏览器,推荐大家也来用用。	2	2	2
棒棒哒 谢谢有的陪伴	2	2	2
家具 体感不错,就是电影太少了	2	2	2
好 软件还是不错的要是增加下载功能就好了	2	0	0
很好用啊 很好很强大!	2	2	2
宝宝树 很好用也很实用,从备孕到养娃,所有的知识应有尽有,还有分享交流平台,不仅丰富了知识领悟,也满足了精神需求,强烈推荐!	2	2	2
好玩 浏览器的速度挺快的,用的很顺手,看小说真的很棒	2	2	2
肯定不错 微博好多人都在讨论这个	2	2	2
此APP可以滋养你 通过阅读,我打开了一个浩瀚的知识海洋,鱼儿在水里玩耍的酣畅淋漓,尽情享受着阅读这片大海的哺育。	2	2	2
哈哈哈 好好好好好好好好好好好用	2	2	2
还不错呢 哈哈哈哈哈哈哈	2	2	2
确实不错 好!好!好!	2	2	2
办公室同事推荐的。感觉得不错。又推荐给同学了。哈哈~不错的啊呢! 用贴吧很久了。界面风格十分清新,在这里可以遇到很多和我一样喜欢动漫,喜欢二次元的朋友,里面的设计非常不错,交互十分人性化,值得推荐给大	2	2	2
比起之前方便很多要说这不很好的人啊呢,只能怪手机不很好。我觉得这超很好	2	2	2
永远经典的浏览器 浏览器从塞班时代就开始流行,一直到现在都很好。永远的经典!	2	2	2
很好,习惯用了	2	2	2
很喜欢,可以在上分享很多东西,也可以看打发时间,也认识很多人,特别喜欢	2	2	2
评论 一直都很赞,很用心	2	2	2
棒棒的~ 一直看,习惯了,挺好的	2	2	2
习惯用点评啦,每月更新1次,超级铁粉哇!	2	2	2
很好用的软件! 试用了很久才来评论,很不错的软件!	2	2	2
好评 看电影就靠它了	2	0	0
准到没朋友 导航从来不让人失望	2	0	0
好好好吧 很好很强大	2	2	2
很好是一款学习的好视频~~	2	2	2
保存照片很 保存照片很不错,如果不是会员的那个内存再大点就更好了	2	2	2
超赞的打字法,支持一下	2	2	2
使用简单,主要是没广告,挺不错的,值得下载	2	2	2
个人觉得真不错,顶一下啊	2	2	2
会导航行更多冤枉路 以前很好,好在收藏点易收藏,易选择。但试过几次莫名奇妙的走多了路。。一个正方型,原本C到D,路没有显示修路或塞车,非要由C到B到A到D。。    转用的导航了,更新快,而且有较多的目的地实况地图。	2	0	0
好看真心不错,很多有趣的视频内容,我太喜欢了	2	2	2
同学推荐的 ,没想到效果不错  强力推荐	2	2	2
好软件,都是口口相传的,支持	2	2	2
很好,超赞的个性化推荐,太智能了。	2	2	2
好棒好棒,好极了	2	2	2
挺好的,就是没有语音日语翻译中文的,遗憾	2	2	2
不错,非常好。	2	2	2
表情图找不到了(输入法)	0	0	0
快捷翻译不好用,具体问题是中译英翻译不出来,它显示的是“我不会翻译这个”,希望快点解决这个问题。(输入法)	0	0	0
新版本太恶心了	0	0	0
你想看的这里都没有,要不是不给星就评价不了真心一颗都不想给!!!!!!!	0	0	0
何天浩影帝 封禁我的号大半年还不解封 贴吧 呵呵	0	2	2
卸载原因:其它软件提示下载,其他原因:(输入法-卸载反馈)	0	0	0
我也想知道(回复:为什么视频卡,VIP都卡,同样的其他软件就不卡为什么?)	0	0	0
无缘无故封号? 一充完豆就封号了?优秀	0	0	0
这羞耻的下载量	0	0	0
录音播放失败(浏览器)	0	0	0
抽风 不知道怎么回事 升个级 报路都不会 卸载	0	0	0
发啥删啥 玩贴吧好几年了,真的是越来越差,bug层出不穷暂且不提,现在随便发啥都可能被删,申诉也已经变成了摆设。就知道卖吧,急着套现,我只想说迟早药丸	0	0	0
打不开什么鬼???	0	0	0
更新之后删除键一直不好使(输入法)	0	0	0
王者打不出来字(输入法)	0	2	2
能不能适可而止?天天宣传一个女明星有意思?还屏蔽都屏蔽不了(浏览器)	0	0	0
买了会员还要买超级会员 看网盘内的视频没法选择语速,现在时间真的很宝贵啊!!!买了会员又提示秒缓冲要超级会员,让人好心疼,就不能结合一次购买吗?	0	0	0
键盘下降非常慢(输入法)	0	0	0
卡,太卡了(浏览器)	0	0	0
广告太多 好是好,就是广告太多了,能让人好好用吗?	0	0	0
真的差,奉劝大家千万不要用	0	0	0
坑 好几次带进死胡同了。	0	0	0
差花钱买头条,不小心删除,没有投放,不给退款,	0	0	0
x下载 一直闪退 刚下载那天还好 充完会员 一直就开始闪退 点进去一秒黑屏退出	0	0	0
, 请问为什么我的手机无法下载?	0	0	0
服务太不好, 商家不接单	0	0	0
我的不能横屏了怎么办	0	0	0
老闪退是怎么回事??	0	0	0
未成年不能直播!靠!	0	0	0
非常失败的一个系统。各种经常系统无故自动删帖。经常要去要求恢复。严重影响正常发帖。 并且经常有各种误封号。	0	0	0
Q10电影 M2更新完之后,电影都没了?!谁能告诉我在哪里找 ?!	0	0	0
手机键盘在界面老是卡(输入法)	0	0	0
广告有点多了,特别是网页中的广告,然后就是不想看到首页广告,这些方面问题希望可以改进	0	0	0
闪退是你手机不行,别怪人家软件	0	0	0
为什么我打开允许完全访问还是换不了皮肤(输入法Appstore)	0	0	0
下载不了怎么回事(浏览器)	0	0	0
差评  申请额度就过不了   还有什么用骗资料	0	0	0
很气,为啥就不能离线加载视频,外出太浪费流量了!	0	0	0
不能提现骗人的	0	0	0
我一辈子都不可能再用地图了,腊鸡导航。。。。	0	0	0
不好,,^,,一点都不好(输入法)	0	0	0
游戏模式有些游戏貌似用不了(输入法)	0	0	0
为什么在图片上添加电话不能调整大小???(输入法)	0	0	0
